point,geometry,type,wtd_m,links,length_m,elevation_m
GW_AmmanZarqa_Basalt,POINT (288152.1403732534 1191822.870905),Groundwater supply,50.41940689086914,Transmission Link from GW_AmmanZarqa_Basalt to PS_NorthBadia,12932.375954208328,779.0
GW_AmmanZarqa_Basalt,POINT (288152.1403732534 1191822.870905),Groundwater supply,50.41940689086914,Transmission Link from GW_AmmanZarqa_Basalt to MF_RC_Zatari,13400.829783774348,779.0
GW_AmmanZarqa_Basalt,POINT (288152.1403732534 1191822.870905),Groundwater supply,50.41940689086914,Transmission Link from GW_AmmanZarqa_Basalt to PL_Aqeb_Irbid 2,15816.430903402854,779.0
GW_AmmanZarqa_Basalt,POINT (288152.1403732534 1191822.870905),Groundwater supply,50.41940689086914,Transmission Link from GW_AmmanZarqa_Basalt to MF_Agri,12181.01699378902,779.0
GW_AmmanZarqa_Kurnub,POINT (245471.18165191 1182699.780422208),Groundwater supply,45.646217346191406,Transmission Link from GW_AmmanZarqa_Kurnub to PS_QunayyaWell 2,12389.08606140472,591.0
GW_AmmanZarqa_Kurnub,POINT (245471.18165191 1182699.780422208),Groundwater supply,45.646217346191406,Transmission Link from GW_AmmanZarqa_Kurnub to PS_QunayyaWell,12676.692931693,591.0
GW_AmmanZarqa_Kurnub,POINT (245471.18165191 1182699.780422208),Groundwater supply,45.646217346191406,Transmission Link from GW_AmmanZarqa_Kurnub to JERASH_Industry,8906.94182026931,591.0
GW_AmmanZarqa_Kurnub,POINT (245471.18165191 1182699.780422208),Groundwater supply,45.646217346191406,Transmission Link from GW_AmmanZarqa_Kurnub to PS_Jerash,8094.7455148353065,591.0
GW_Azraq_A7B2,POINT (294902.8164253123 1141018.930941112),Groundwater supply,32.3530158996582,Transmission Link from GW_Azraq_A7B2 to AM_Mwaqqar,28959.550352971863,627.0
GW_Azraq_B4B5,POINT (315782.8356343468 1150726.090744603),Groundwater supply,6.868517875671387,Transmission Link from GW_Azraq_B4B5 to PL_ToKhaw,6247.849144608402,559.0
GW_Azraq_B4B5,POINT (315782.8356343468 1150726.090744603),Groundwater supply,6.868517875671387,Transmission Link from GW_Azraq_B4B5 to ZA_Agriculture,23444.56521347391,559.0
