lon,lat,name,type
35.79135,31.664070000000002,PL_WLibMadaba,pipeline
35.79305,31.665560000000003,PL_WLibMadaba,pipeline
35.79127,31.66994,PL_WLibMadaba,pipeline
35.79605,31.7128,PL_WLibMadaba,pipeline
35.81221,31.775039999999994,PL_WLibMadaba,pipeline
35.89976,31.80859999999999,PL_WLibMadaba,pipeline
,,PL_WLibMadaba,pipeline
35.85526,32.68551,PL_BaniKinana,pipeline
35.85132,32.693580000000004,PL_BaniKinana,pipeline
,,PL_BaniKinana,pipeline
35.85132,32.693580000000004,PL_BaniKinana,pipeline
35.84738,32.70165000000001,PL_BaniKinana,pipeline
35.84046,32.70506999999999,PL_BaniKinana,pipeline
,,PL_BaniKinana,pipeline
35.85132,32.693580000000004,PL_BaniKinana,pipeline
35.84738,32.70165000000001,PL_BaniKinana,pipeline
35.84046,32.70506999999999,PL_BaniKinana,pipeline
,,PL_BaniKinana,pipeline
35.84046,32.70506999999999,PL_BaniKinana,pipeline
35.82227,32.71449,PL_BaniKinana,pipeline
,,PL_BaniKinana,pipeline
35.84046,32.70506999999999,PL_BaniKinana,pipeline
35.82227,32.71449,PL_BaniKinana,pipeline
,,PL_BaniKinana,pipeline
35.82227,32.71449,PL_BaniKinana,pipeline
35.81312,32.71909,PL_BaniKinana,pipeline
,,PL_BaniKinana,pipeline
36.81551,31.919300000000003,PL_ToKhaw,pipeline
36.80898,31.91185,PL_ToKhaw,pipeline
,,PL_ToKhaw,pipeline
36.80898,31.91185,PL_ToKhaw,pipeline
36.79081,31.89754,PL_ToKhaw,pipeline
,,PL_ToKhaw,pipeline
36.80898,31.91185,PL_ToKhaw,pipeline
36.79081,31.89754,PL_ToKhaw,pipeline
,,PL_ToKhaw,pipeline
36.79081,31.89754,PL_ToKhaw,pipeline
36.76178,31.87142,PL_ToKhaw,pipeline
,,PL_ToKhaw,pipeline
36.79081,31.89754,PL_ToKhaw,pipeline
36.76178,31.87142,PL_ToKhaw,pipeline
,,PL_ToKhaw,pipeline
36.76178,31.87142,PL_ToKhaw,pipeline
36.72754,31.888109999999998,PL_ToKhaw,pipeline
36.67608,31.89679,PL_ToKhaw,pipeline
36.57174,31.92672,PL_ToKhaw,pipeline
,,PL_ToKhaw,pipeline
36.76178,31.87142,PL_ToKhaw,pipeline
36.72754,31.888109999999998,PL_ToKhaw,pipeline
36.67608,31.89679,PL_ToKhaw,pipeline
36.57174,31.92672,PL_ToKhaw,pipeline
,,PL_ToKhaw,pipeline
36.57174,31.92672,PL_ToKhaw,pipeline
36.43766,32.003629999999994,PL_ToKhaw,pipeline
,,PL_ToKhaw,pipeline
36.57174,31.92672,PL_ToKhaw,pipeline
36.43766,32.003629999999994,PL_ToKhaw,pipeline
,,PL_ToKhaw,pipeline
36.43766,32.003629999999994,PL_ToKhaw,pipeline
36.42487,32.01,PL_ToKhaw,pipeline
36.41841,32.0125,PL_ToKhaw,pipeline
36.37522,32.032979999999995,PL_ToKhaw,pipeline
,,PL_ToKhaw,pipeline
36.43766,32.003629999999994,PL_ToKhaw,pipeline
36.42487,32.01,PL_ToKhaw,pipeline
36.41841,32.0125,PL_ToKhaw,pipeline
36.37522,32.032979999999995,PL_ToKhaw,pipeline
,,PL_ToKhaw,pipeline
36.37522,32.032979999999995,PL_ToKhaw,pipeline
36.35811,32.04166,PL_ToKhaw,pipeline
36.32033,32.059139999999985,PL_ToKhaw,pipeline
