point,type,lon,lat
PS_Hasa2TA_Hasa,River/pipeline supply,35.79955,30.81058
PS_Hasa2TA_Qasabat,River/pipeline supply,35.76017,30.812329999999992
PS_Qasr2KA_AlQasr,River/pipeline supply,35.729,31.331060000000004
PS_Qasr2KA_Fqou,River/pipeline supply,35.72699,31.322599999999994
PL_GhwQasr2KA_Ayy_M,River/pipeline supply,35.73546,31.23091
Withdrawal Node 1,River/pipeline supply,35.73262,31.24053
PSAinGhazal2AM_SZ01,River/pipeline supply,36.02228,31.976060000000007
PSAinGhazal2AM_SZ02,River/pipeline supply,36.00105,31.947880000000023
PSAinGhazal2AM_SZ08,River/pipeline supply,36.0347,31.986170000000005
PS_AbuAlanda2AM_SZ04,River/pipeline supply,36.02496,31.888090000000005
PS_AbuAlanda2ZA_QZarqa,River/pipeline supply,36.03665,31.88948
WadiShueib2BQ_AgriJV,River/pipeline supply,35.64341998069481,31.93995989051015
KAC2BQ_AgriJV,River/pipeline supply,35.55868998048763,32.0906098912359
KAC2IR_AgriJV,River/pipeline supply,35.567949980347926,32.40513989274887
WadiKafrein2BQ_AgriJV,River/pipeline supply,35.66161998076323,31.858669890120776
SGhorWadis2KA_Industry,River/pipeline supply,35.46827998074514,31.298799887480335
SouthernGhorWadis2KA_AgriJV,River/pipeline supply,35.48070998076579,31.29584988746547
ZC32IR_AgriJV,River/pipeline supply,35.577179980373934,32.38186989263616
PS_Ghwair2KA_Qatraneh,River/pipeline supply,35.88716,31.250789999999995
PL_KarakAm2AM_UmAlBas,River/pipeline supply,35.90368,31.799549999999996
PL_KarakAmman2AM_Jiza,River/pipeline supply,36.02288,31.522310000000004
PL_KarakAmman2AM_SZ03_Outflow,River/pipeline supply,35.89106,31.830449999999985
PL_KarakAmman2AM_SZ06,River/pipeline supply,35.85823,31.904450000000008
PL_KarakAmman2AM_SahabMqar,River/pipeline supply,35.92858,31.7409
PS_AinGhasal_SZ022AM_SZ02,River/pipeline supply,36.00386,31.922709999999995
PS_Jerash2JA_ROUJerash,River/pipeline supply,35.87813,32.29388
PLKarakAmman2KA_Qatraneh,River/pipeline supply,36.06075,31.370179999999994
PL_Dabouq_AinGh2AM_SZ05,River/pipeline supply,35.87974,32.007799999999996
PL_Dabouq_AinGhazal2AM_SZ07,River/pipeline supply,35.9049,32.01332000000001
PS_ZaraMain2AM_SZ01,River/pipeline supply,35.95243,31.897779999999994
PS_ZaraMain2AM_SZ02,River/pipeline supply,35.96645,31.90247
PS_ZaraMain2AM_SZ05,River/pipeline supply,35.89633,31.881869999999992
ZM2BQShJan,River/pipeline supply,35.61463998070989,31.81853988993204
RedDead2MA_QMaan,River/pipeline supply,35.92516,30.05285
MF_ROU_Mafraq Withdrawal,River/pipeline supply,36.21719,32.29963
Withdrawal Node 3,River/pipeline supply,35.86734,32.54396
Withdrawal Node 4,River/pipeline supply,35.90156,32.48641
