point,geometry,type,links,length_m,elevation_m
KA_Fqou,POINT (214015.2292359882 1082426.824170126),Demand site,Transmission Link from PS_Qasr2KA_Fqou to KA_Fqou,5294.52171133605,898.0
KA_Ghor Al Mazraa,POINT (198216.3555199977 1071957.992397096),Demand site,Transmission Link from GW_DeadSea_Alluvium to KA_Ghor Al Mazraa,6469.528993713979,-338.0
KA_Ind_OilShale,POINT (239728.6968699584 1049497.675710625),Demand site,Transmission Link from GW_DeadSea_Kurnub to KA_Ind_OilShale,7777.59258061803,923.0
KA_Q  Al Karak,POINT (214763.2330002516 1070512.66701537),Demand site,Transmission Link from Withdrawal Node 1 to KA_Q  Al Karak,5294.122881020906,824.0
KA_Q  Al Karak,POINT (214763.2330002516 1070512.66701537),Demand site,Transmission Link from GW_DeadSea_A7B2 to KA_Q  Al Karak,28013.44012031814,824.0
MAAN_Industry,POINT (222828.9465900569 975056.7320837339),Demand site,Transmission Link from GW_Jafer_A7B2 to MAAN_Industry,10628.189820188747,1074.0
MADABA_Industry,POINT (226100.1860282205 1106554.875999224),Demand site,Transmission Link from GW_DeadSea_A7B2 to MADABA_Industry,26368.473173638457,673.0
MAFRAQ_Industry,POINT (274948.5441772459 1179704.186906421),Demand site,Transmission Link from GW_AmmanZarqa_A7B2 to MAFRAQ_Industry,31773.949768960258,623.0
MA_Agriculture,POINT (200773.2329776152 975110.7147795098),Demand site,Transmission Link from GW_Jafer_A7B2 to MA_Agriculture,12603.561158816134,1573.0
MA_Agriculture,POINT (200773.2329776152 975110.7147795098),Demand site,Transmission Link from WWTP_Wadi Musa to MA_Agriculture,5920.699683083017,1573.0
MA_Ail,POINT (201309.7449846809 953269.4260207162),Demand site,Transmission Link from PS_Qa2MA_Ail to MA_Ail,9999.820029548642,1382.0
MA_Al Jafer,POINT (263205.5796057862 977491.3977835265),Demand site,Transmission Link from GW_Jafer_B4 to MA_Al Jafer,13894.234432462645,874.0
MA_Al Muraygha,POINT (206007.3566261657 941441.0425070703),Demand site,Transmission Link from GW_Jafer_A7B2 to MA_Al Muraygha,30772.388220186247,1420.0
MA_AlHusayniyya,POINT (220457.163374942 996737.5534623202),Demand site,Transmission Link from GW_Jafer_A7B2 to MA_AlHusayniyya,26414.912469028906,1117.0
MA_AshShobak,POINT (202254.615469483 990404.252565301),Demand site,Transmission Link from GW_Jafer_A7B2 to MA_AshShobak,21708.76194624818,1417.0
MA_QMaan,POINT (221369.2389521297 941578.0360503674),Demand site,Transmission Link from RedDead2MA_QMaan to MA_QMaan,17614.933906418042,1107.0
